h0,H0,initial_leverage,p_surv,p_liq,killed_moment_1,killed_moment_2,killed_moment_3,killed_moment_4,conditional_moment_1,conditional_moment_2,conditional_moment_3,conditional_moment_4,unconditional_mean,unconditional_variance,conditional_mean,conditional_variance,conditional_skewness,conditional_excess_kurtosis
1.0671184637025644,2.9069908200742693,1.39961659530605,1.0,0.0,1.129710344956802,1.3071343959900648,1.549289086129212,1.8814369889628626,1.129710344956802,1.3071343959900648,1.549289086129212,1.8814369889628626,1.129710344956802,0.030888932487648235,1.129710344956802,0.030888932487648235,0.5184829599689462,0.546665539931658
1.1707719677356128,3.2244808731846937,1.346630457271554,1.0,0.0,1.1263793702635543,1.2976311326740602,1.5292760935392526,1.8441055980398968,1.1263793702635543,1.2976311326740602,1.5292760935392526,1.8441055980398968,1.1263793702635543,0.028900646918738948,1.1263793702635543,0.028900646918738948,0.5179900427545283,0.5430850136434673
1.2744254717686612,3.57664593563054,1.302186746836541,1.0,0.0,1.1235854154593086,1.2897530997891529,1.5128480850946302,1.8137436706701782,1.1235854154593086,1.2897530997891529,1.5128480850946302,1.8137436706701782,1.1235854154593086,0.027308913956285874,1.1235854154593086,0.027308913956285874,0.5168545166618642,0.5390464909109229
1.3780789758017096,3.9672730749455214,1.2645609674938523,1.0,0.0,1.1212200700510204,1.2831500059947278,1.4991941883020061,1.7887074386341348,1.1212200700510204,1.2831500059947278,1.4991941883020061,1.7887074386341348,1.1212200700510204,0.026015560509512703,1.1212200700510204,0.026015560509512703,0.5153098991193619,0.534780765530972
1.481732479834758,4.400562967218326,1.2324563402523099,1.0,0.0,1.1192018119741436,1.2775639800952001,1.4877269209626602,1.7678231363811143,1.1192018119741436,1.2775639800952001,1.4877269209626602,1.7678231363811143,1.1192018119741436,0.024951284168993837,1.1192018119741436,0.024951284168993837,0.5135247944592198,0.5304556240472227
1.5853859838678064,4.881175069784999,1.2048788279209195,1.0,0.0,1.117468151074024,1.272801039452536,1.478010617969787,1.7502314913879609,1.117468151074024,1.272801039452536,1.478010617969787,1.7502314913879609,1.117468151074024,0.024065970787737978,1.117468151074024,0.024065970787737978,0.5116193090061527,0.5261894794983579
1.6890394879008548,5.41427772750434,1.1810536030616645,1.0,0.0,1.1159703778109318,1.2687124953553572,1.4697156034817664,1.735289759543662,1.1159703778109318,1.2687124953553572,1.4697156034817664,1.735289759543662,1.1159703778109318,0.023322611203883348,1.1159703778109318,0.023322611203883348,0.5096776897287126,0.5220624297449299
1.7926929919339032,6.005603751442738,1.160367763812798,1.0,0.0,1.1146699620871745,1.2651824871399404,1.462587955212705,1.7225080269556559,1.1146699620871745,1.2651824871399404,1.462587955212705,1.7225080269556559,1.1146699620871745,0.022693362760517477,1.1146699620871745,0.022693362760517477,0.5077577497531682,0.5181271372339062
1.8963464959669516,6.661512067643408,1.1423301521753368,1.0,0.0,1.1135360272381696,1.2621194149357684,1.456429025800743,1.7115066319114043,1.1135360272381696,1.2621194149357684,1.456429025800743,1.7115066319114043,1.1135360272381696,0.022156930978402878,1.1135360272381696,0.022156930978402878,0.505898105024914,0.5144152428593709
2.0,7.38905609893065,1.1265425981240378,1.0,0.0,1.1125435423239076,1.2594499214432744,1.4510812478373531,1.701987002878264,1.1125435423239076,1.2594499214432744,1.4510812478373531,1.701987002878264,1.1125435423239076,0.021696787876645862,1.1125435423239076,0.021696787876645862,0.5041235446651344,0.5109424109096463
