replicate,calibration_success,selection_feasible,objective,n_iter,error,mu1,sigma1,lam1,p1,eta1_pos,eta1_neg,mu2,sigma2,lam2,p2,eta2_pos,eta2_neg,rho,reference_H0,p_surv_at_reference_H0,p_liq_at_reference_H0,selected_H0,selected_h0,selected_initial_leverage,selected_p_surv,selected_p_liq
26,True,True,0.006132845935815957,30,,0.14613322700799652,0.21951678330712956,1053.599761764445,0.4421309050596523,0.006083780630817326,0.004038520615170114,-0.42523260510215427,0.2617266828713157,1191.107357027677,0.3808689413718402,0.010621264751402371,0.004788524074143769,0.9191018755762922,1.1621119295105666,0.859042739708497,0.14095726029150302,1.190197563158257,0.1741193128044527,2.9015227540468604,0.9033188831038934,0.09668111689610659
27,True,True,0.0046118392357212025,25,,0.1469605370462844,0.21518522744708699,562.5918697169068,0.4088404271344949,0.01100187581933315,0.0012428408617017692,-0.36818171522471865,0.26907247767164993,885.3973646276296,0.33923018681738637,0.017633249702446535,0.00701525741565383,0.8050149997489311,1.1621119295105666,0.7567604832961489,0.24323951670385113,1.2604116472774833,0.2314383717956729,2.6236075965691064,0.9028862212605612,0.09711377873943883
28,True,True,0.005491905546652076,32,,0.15152711961905135,0.22049063786152412,523.263015226756,0.7997122071037408,0.007909965406884519,0.007391372327655506,-0.36460978408687905,0.2705556154082991,860.9483653048243,0.5287702855313526,0.013263185938414825,0.010666291097634416,0.8217935852104505,1.1621119295105666,0.7460450770106122,0.2539549229893878,1.2650925862187652,0.23514531018794682,2.607940467777503,0.9044212053251195,0.09557879467488051
29,True,True,0.008580308707210941,39,,0.2245919687442545,0.22365494032859695,1278.5547298484332,0.027610275947310827,0.04999016987450649,0.0030560611333127533,-0.43267624935474364,0.2397450784931484,2252.4119022236077,0.2831563209231448,0.007712373005313431,0.004202250898831537,0.96467451724316,1.1621119295105666,0.7923323190630318,0.2076676809369682,1.227645074688511,0.2050977608219412,2.7424518756131846,0.9056475275717871,0.09435247242821287
30,True,True,0.0060850084015751475,28,,0.19648819520471203,0.22878014342280073,874.9035676042106,0.17679205269913667,0.0198287929112944,0.004278400037619971,-0.37115665927488384,0.2850018218342358,1258.8451583519684,0.2294753149259834,0.01752784033425782,0.005184429749385012,0.8910637910947886,1.1621119295105666,0.7174249166346144,0.2825750833653856,1.2838163419838922,0.24983715919907815,2.5481832068578236,0.9004318185011739,0.09956818149882607
31,True,True,0.0058317677459673286,30,,0.1514179182767243,0.21833480653150075,1059.4206303848785,0.5018516800264854,0.006016340439923196,0.00499026686649121,-0.4368048919601606,0.27639522221549173,1316.4211102247475,0.31191110701927843,0.008790636177998929,0.004829518037923194,0.937294310890342,1.1621119295105666,0.8817984393783491,0.11820156062165088,1.1761547463344117,0.1622504278386804,2.9689275648399467,0.9041988612592853,0.09580113874071472
32,True,True,0.005628363233577915,34,,0.19488738608860645,0.2150095849917251,671.5626886680418,0.7353145383175218,0.008744896206167273,0.014831953207879273,-0.41515778939965114,0.26948448095218186,1104.9126044082166,0.5782675547986109,0.008394702004063894,0.008211285950673901,0.9293077905671131,1.1621119295105666,0.7622587196919577,0.2377412803080423,1.2510497693949199,0.2239830143824088,2.6558759831300582,0.9018893032307583,0.09811069676924167
33,True,True,0.0073243455527040495,27,,0.14304829164374178,0.25495502263872377,463.9150831493034,0.20501034282310848,0.012587774798852577,0.0006174463809767895,-0.37171063455017833,0.28061096936846397,838.6575624677645,0.36547082543845183,0.016018477354826373,0.008376678299073731,0.8302502094188742,1.1621119295105666,0.7869919896506781,0.21300801034932193,1.2370069525710745,0.21269471390472117,2.706757404043417,0.9017018810889651,0.0982981189110349
34,True,True,0.006160356497665003,29,,0.1698067685610986,0.1996862553109843,662.6892540368385,0.365447369514015,0.012587035911651645,0.006161505057475821,-0.41977928112680213,0.25125674561298994,1130.6657747049576,0.16265480235418334,0.017701407309937123,0.004373543326577576,0.8526538546512058,1.1621119295105666,0.7963765778677632,0.20362342213223683,1.2323260136297929,0.2089034515580008,2.724419946004681,0.9039257897402946,0.09607421025970542
35,True,True,0.007120397588174007,26,,0.1513961358789853,0.21141269335152926,588.4189045653045,0.26625451889676194,0.011678420824858109,0.005348236768133784,-0.32403098229757,0.2457820518897365,729.0308267346101,0.3167732097975438,0.022922074917957457,0.01003066401357009,0.8432306608679231,1.1621119295105666,0.6979961553994606,0.3020038446005394,1.3072210366903008,0.267903537933448,2.479455381554106,0.900367952162225,0.09963204783777502
36,True,True,0.005489163441974069,31,,0.1549144627555562,0.22240248737210014,759.5426820994173,0.12467655644722528,0.016505750405759276,0.0036460437720383706,-0.4144840224432393,0.26524542849055815,908.8531695396487,0.2965103783843341,0.013750457919714557,0.006484848353686252,0.868748450625458,1.1621119295105666,0.828501734065557,0.17149826593444295,1.208921318923384,0.18972849004705733,2.8185153443942648,0.9027334341938834,0.09726656580611659
37,True,True,0.006246128803555286,43,,0.1306690720501449,0.261296412308909,881.4999741364043,0.0010000000000000005,0.0050753797683802445,0.0012451803948071518,-0.08475598700059372,0.28803885477273955,885.6321130496494,0.14762155259758608,0.04915024839990964,0.009651236879962631,0.8642402353193899,1.1621119295105666,0.5886462348197159,0.4113537651802841,1.4804157775177256,0.39232297907758806,2.1136242572437776,0.9016997033254854,0.09830029667451456
38,True,True,0.006101870951959589,30,,0.16150243509137205,0.2192214267341165,1001.3387482225404,0.1490298651413252,0.012942943094133602,0.004476858174741411,-0.4218688842463395,0.24890791436058426,1517.8697851249674,0.21490299604824994,0.01131494887525815,0.005272392094687838,0.881901094686811,1.1621119295105666,0.8203645687076888,0.1796354312923112,1.213602257864666,0.1935930095190325,2.798883621688728,0.9036330171461097,0.09636698285389034
39,True,True,0.00478804936019657,32,,0.15590524083071206,0.24242652712426474,1045.3967392454574,0.8194637832979578,0.004932466027636248,0.007461617977549132,-0.43753415084836456,0.30623925202225805,1007.014968364298,0.4971547489821079,0.008071841803363672,0.0046136607536645105,0.9228185764709496,1.1621119295105666,0.89681797226361,0.10318202773638996,1.1667928684518483,0.1542588469357128,3.0165831989663534,0.9041648344735655,0.09583516552643445
