diagnostic,h0,T,M,quantity,k,value,previous_value,absolute_change,relative_change,n_nodes,max_relative_root_residual,min_root_separation,min_root_pole_distance,max_barrier_condition_number,max_barrier_system_residual,n_paths,n_intervals,interval_dt_years,seed,p_surv,binomial_standard_error,confidence_level,ci_lower,ci_upper,laplace_M,laplace_p_surv,difference_from_laplace,runtime_seconds
talbot_convergence,0.06624938554120066,0.08333333333333333,40,killed_moment,2,1.101407150577226,1.1014071535304464,2.9532203349447173e-09,2.6813157382158596e-09,,,,,,,,,,,,,,,,,,,
talbot_convergence,0.06624938554120066,0.08333333333333333,40,killed_moment,3,1.5729672415454652,1.5729672308696776,1.067578758728871e-08,6.787037457181613e-09,,,,,,,,,,,,,,,,,,,
talbot_convergence,0.06624938554120066,0.08333333333333333,40,killed_moment,4,2.347202575407694,2.347202639793815,6.438612087933393e-08,2.743100224401153e-08,,,,,,,,,,,,,,,,,,,
root_quality,0.06624938554120066,0.08333333333333333,32,,0,,,,,32,6.858507729322319e-14,81.25663372870346,2.974282878898593,27.642007904096424,1.788112030672749e-18,,,,,,,,,,,,,
root_quality,0.06624938554120066,0.08333333333333333,32,,1,,,,,32,1.338631530909939e-13,80.82151920731764,2.98178721023435,27.682112666838865,4.4702800766818725e-19,,,,,,,,,,,,,
root_quality,0.06624938554120066,0.08333333333333333,32,,2,,,,,32,1.1090933196972668e-13,80.4021587466421,2.9892436345981235,27.721699900789126,1.0926396707304223e-19,,,,,,,,,,,,,
root_quality,0.06624938554120066,0.08333333333333333,32,,3,,,,,32,1.0681176605881415e-13,79.99868918515018,2.9966570126599885,27.760757520187312,2.757739477467668e-20,,,,,,,,,,,,,
root_quality,0.06624938554120066,0.08333333333333333,32,,4,,,,,32,7.500378707345653e-14,79.61123370708248,3.0040321679445676,27.79927318074853,6.776263578034403e-21,,,,,,,,,,,,,
mc_monitoring_convergence,0.1,0.08333333333333333,,p_surv_discretely_monitored,,,,,,,,,,,,25000,63,0.0013227513227513227,42,0.79524,0.002552123370058744,0.95,0.7902379301105819,0.800242069889418,32,0.77361458970384,0.02162541029615994,10.81593133401475
mc_monitoring_convergence,0.1,0.08333333333333333,,p_surv_discretely_monitored,,,,,,,,,,,,25000,252,0.00033068783068783067,42,0.77852,0.002626226262910338,0.95,0.7733726911094425,0.7836673088905575,32,0.77361458970384,0.004905410296159984,13.68873229197925
mc_monitoring_convergence,0.1,0.08333333333333333,,p_surv_discretely_monitored,,,,,,,,,,,,25000,1008,8.267195767195767e-05,42,0.77376,0.002646170534187092,0.95,0.7685736010560422,0.7789463989439578,32,0.77361458970384,0.0001454102961599979,14.890983958990546
